customer_id,account_id,subscription_type,subscription_amount,subscription_operating_cost,subscription_duration,cancel_validation,cancel_reason
STRM-100001,ACC-100001,tier 2,7,3,1544,no,
STRM-100002,ACC-100002,tier 3,5,3,1405,no,
STRM-100003,ACC-100003,tier 2,7,3,1637,no,
STRM-100004,ACC-100004,tier 2,7,3,1583,no,
STRM-100005,ACC-100005,tier 1,10,3,1455,no,
STRM-100006,ACC-100006,tier 1,10,3,1468,no,
STRM-100007,ACC-100007,tier 1,10,3,1512,no,
STRM-100008,ACC-100008,tier 3,5,3,1508,no,
STRM-100009,ACC-100009,tier 2,7,3,402,yes,switch to competitor
STRM-100010,ACC-100010,tier 2,7,3,385,yes,too expensive
STRM-100011,ACC-100011,tier 1,10,3,1649,no,
STRM-100012,ACC-100012,tier 3,5,3,404,yes,switch to competitor
STRM-100013,ACC-100013,tier 3,5,3,1498,no,
STRM-100014,ACC-100014,tier 1,10,3,1548,no,
STRM-100015,ACC-100015,tier 1,10,3,1359,no,
STRM-100016,ACC-100016,tier 1,10,3,1490,no,
STRM-100017,ACC-100017,tier 2,7,3,72,yes,too expensive
STRM-100018,ACC-100018,tier 2,7,3,1523,no,
STRM-100019,ACC-100019,tier 2,7,3,1523,no,
STRM-100020,ACC-100020,tier 2,7,3,1450,no,
STRM-100021,ACC-100021,tier 2,7,3,1397,no,
STRM-100022,ACC-100022,tier 1,10,3,1480,no,
STRM-100023,ACC-100023,tier 2,7,3,171,yes,switch to competitor
STRM-100024,ACC-100024,tier 2,7,3,1336,no,
STRM-100025,ACC-100025,tier 2,7,3,556,yes,switch to competitor
STRM-100026,ACC-100026,tier 3,5,3,1626,no,
STRM-100027,ACC-100027,tier 1,10,3,1356,no,
STRM-100028,ACC-100028,tier 2,7,3,1452,no,
STRM-100029,ACC-100029,tier 2,7,3,320,yes,not enough content
STRM-100030,ACC-100030,tier 1,10,3,567,yes,switch to competitor
STRM-100031,ACC-100031,tier 2,7,3,1519,no,
STRM-100032,ACC-100032,tier 1,10,3,1527,no,
STRM-100033,ACC-100033,tier 1,10,3,560,yes,not enough content
STRM-100034,ACC-100034,tier 3,5,3,184,yes,too expensive
STRM-100035,ACC-100035,tier 3,5,3,721,yes,switch to competitor
STRM-100036,ACC-100036,tier 3,5,3,1341,no,
STRM-100037,ACC-100037,tier 2,7,3,1558,no,
STRM-100038,ACC-100038,tier 1,10,3,1401,no,
STRM-100039,ACC-100039,tier 2,7,3,1322,no,
STRM-100040,ACC-100040,tier 2,7,3,1515,no,
STRM-100041,ACC-100041,tier 1,10,3,1436,no,
STRM-100042,ACC-100042,tier 2,7,3,209,yes,switch to competitor
STRM-100043,ACC-100043,tier 1,10,3,1464,no,
STRM-100044,ACC-100044,tier 3,5,3,1657,no,
STRM-100045,ACC-100045,tier 2,7,3,126,yes,too expensive
STRM-100046,ACC-100046,tier 2,7,3,1410,no,
STRM-100047,ACC-100047,tier 2,7,3,1448,no,
STRM-100048,ACC-100048,tier 2,7,3,1403,no,
STRM-100049,ACC-100049,tier 2,7,3,1563,no,
STRM-100050,ACC-100050,tier 1,10,3,183,yes,too expensive
STRM-100051,ACC-100051,tier 3,5,3,480,yes,switch to competitor
STRM-100052,ACC-100052,tier 3,5,3,1400,no,
STRM-100053,ACC-100053,tier 3,5,3,1533,no,
STRM-100054,ACC-100054,tier 3,5,3,1524,no,
STRM-100055,ACC-100055,tier 2,7,3,1413,no,
STRM-100056,ACC-100056,tier 3,5,3,1649,no,
STRM-100057,ACC-100057,tier 1,10,3,598,yes,too expensive
STRM-100058,ACC-100058,tier 1,10,3,1643,no,
STRM-100059,ACC-100059,tier 1,10,3,1580,no,
STRM-100060,ACC-100060,tier 2,7,3,1482,no,
STRM-100061,ACC-100061,tier 2,7,3,89,yes,not enough content
STRM-100062,ACC-100062,tier 2,7,3,90,yes,too expensive
STRM-100063,ACC-100063,tier 3,5,3,1549,no,
STRM-100064,ACC-100064,tier 2,7,3,1495,no,
